,Unnamed: 0,rest company,rest company industry
434,434,9079,9079
435,435,7033,サービス業
436,436,7034,サービス業
437,437,7035,サービス業
438,438,4989,化学
439,439,7038,サービス業
440,440,7037,サービス業
441,441,9088,9088
442,442,7044,サービス業
443,443,5001,石油・石炭製品
444,444,9542,電気・ガス業
445,445,5003,5003
446,446,5004,5004
447,447,5005,5005
448,448,5006,5006
449,449,9103,9103
450,450,5007,石油・石炭製品
451,451,9105,9105
452,452,7059,サービス業
453,453,9108,9108
454,454,5012,石油・石炭製品
455,455,5014,5014
456,456,9111,9111
457,457,9112,9112
458,458,9113,海運業
459,459,9114,9114
460,460,5016,石油・石炭製品
461,461,7060,サービス業
462,462,7065,サービス業
463,463,2974,不動産業
464,464,2975,不動産業
465,465,9123,海運業
466,466,2980,不動産業
467,467,9125,9125
468,468,9126,9126
469,469,7076,サービス業
470,470,2982,不動産業
471,471,9129,9129
472,472,9132,海運業
473,473,7085,サービス業
474,474,7087,サービス業
475,475,7088,7088
476,476,5042,5042
477,477,9145,陸運業
478,478,1818,1818
479,479,9151,9151
480,480,9152,9152
481,481,7104,7104
482,482,3007,3007
483,483,3009,3009
484,484,3022,卸売業
485,485,5071,サービス業
486,486,7123,7123
487,487,7124,7124
488,488,9174,海運業
489,489,9177,9177
490,490,9178,9178
491,491,7142,7142
492,492,1827,建設業
493,493,3049,小売業
494,494,3051,3051
495,495,5102,5102
496,496,1828,建設業
497,497,5106,5106
498,498,1829,1829
499,499,9204,空運業
500,500,9205,空運業
501,501,1831,1831
502,502,8100,8100
503,503,5123,5123
504,504,3078,小売業
505,505,1834,建設業
506,506,9231,9231
507,507,9234,空運業
508,508,5141,5141
509,509,1836,1836
510,510,5143,5143
511,511,3872,3872
512,512,3102,3102
513,513,7677,卸売業
514,514,7204,7204
515,515,1839,1839
516,516,7207,7207
517,517,3114,繊維製品
518,518,3115,3115
519,519,7210,7210
520,520,3117,3117
521,521,1840,建設業
522,522,3119,3119
523,523,5912,建設業
524,524,9268,卸売業
525,525,7221,輸送用機器
526,526,5913,5913
527,527,7223,輸送用機器
528,528,3128,3128
529,529,3129,繊維製品
530,530,7225,7225
531,531,5914,5914
532,532,9274,卸売業
533,533,9273,医薬品
534,534,1844,建設業
535,535,9279,小売業
536,536,7232,7232
537,537,7233,輸送用機器
538,538,7234,7234
539,539,1845,1845
540,540,9277,小売業
541,541,7237,7237
542,542,5916,5916
543,543,9278,小売業
544,544,5193,5193
545,545,7243,輸送用機器
